SSC_CODE_2016,SSC_NAME_2016,LGA_CODE_2019,LGA_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10303,Berkeley,18450,Wollongong (C),1,Good,Good,0
10304,Berkeley Vale,11650,Central Coast (C) (NSW),1,Good,Good,0
10305,Berkshire Park,16350,Penrith (C),1,Good,Good,0
10306,Berlang,16490,Queanbeyan-Palerang Regional (A),1,Good,Good,0
10307,Bermagui,10550,Bega Valley (A),1,Good,Good,0
10308,Berowra,14000,Hornsby (A),1,Acceptable,Good,0
10309,Berowra Creek,14000,Hornsby (A),1,Acceptable,Good,0
10310,Berowra Heights,14000,Hornsby (A),1,Acceptable,Good,0
10311,Berowra Waters,14000,Hornsby (A),1,Acceptable,Good,0
10312,Berrambool,10550,Bega Valley (A),1,Good,Good,0
10313,Berrara,16950,Shoalhaven (C),1,Good,Good,0
10314,Berremangra,13910,Hilltops (A),1,Good,Good,0
10315,Berrico,15240,Mid-Coast (A),1,Good,Good,0
10316,Berridale,17040,Snowy Monaro Regional (A),1,Good,Good,0
10317,Berrigal,15300,Moree Plains (A),1,Good,Good,0
10318,Berrigan,10650,Berrigan (A),0.9785203,Good,Good,0
10318,Berrigan,15560,Murrumbidgee (A),0.0214797,Good,Good,0
10319,Berrilee,14000,Hornsby (A),1,Acceptable,Good,0
10320,Berrima,18350,Wingecarribee (A),1,Good,Good,0
10321,Berringer Lake,16950,Shoalhaven (C),1,Good,Good,0
10322,Berry,16950,Shoalhaven (C),1,Good,Good,0
10323,Berry Jerry,12000,Coolamon (A),1,Good,Good,0
10324,Berry Mountain,16950,Shoalhaven (C),1,Good,Good,0
10325,Berry Park,15050,Maitland (C),1,Good,Good,0
10326,Berthong,13910,Hilltops (A),1,Good,Good,0
10327,Beryl,15270,Mid-Western Regional (A),1,Good,Good,0
10328,Bethungra,14300,Junee (A),1,Good,Good,0
10329,Bevendale,17640,Upper Lachlan Shire (A),1,Good,Good,0
10330,Beverley Park,12930,Georges River (A),1,Acceptable,Good,0
10331,Beverly Hills,11570,Canterbury-Bankstown (A),0.1742177,Good,Good,0
10331,Beverly Hills,12930,Georges River (A),0.8257823,Acceptable,Good,0
10332,Bewong,16950,Shoalhaven (C),1,Good,Good,0
10333,Bexhill,14850,Lismore (C),1,Good,Good,0
10334,Bexley,10500,Bayside (A),1,Good,Good,0
10335,Bexley North,10500,Bayside (A),1,Good,Good,0
10336,Biala,17640,Upper Lachlan Shire (A),1,Good,Good,0
10337,Bibbenluke,17040,Snowy Monaro Regional (A),1,Good,Good,0
10338,Biddon,12950,Gilgandra (A),1,Good,Good,0
10339,Bidgeemia,14950,Lockhart (A),1,Good,Good,0
10340,Bidwill (NSW),10750,Blacktown (C),1,Good,Good,0
10341,Bielsdown Hills,10600,Bellingen (A),1,Good,Good,0
10342,Big Hill (NSW),17640,Upper Lachlan Shire (A),1,Good,Good,0
10343,Big Jacks Creek,14920,Liverpool Plains (A),1,Good,Good,0
10344,Big Ridge,17000,Singleton (A),1,Good,Good,0
10345,Big Springs,17750,Wagga Wagga (C),1,Good,Good,0
10346,Bigga,17640,Upper Lachlan Shire (A),1,Good,Good,0
10347,Bilambil,17550,Tweed (A),1,Good,Good,0
10348,Bilambil Heights,17550,Tweed (A),1,Good,Good,0
10349,Bilbul,13450,Griffith (C),1,Good,Good,0
10350,Bilgola Beach,15990,Northern Beaches (A),1,Good,Good,0
10351,Bilgola Plateau,15990,Northern Beaches (A),1,Good,Good,0
10352,Billeroy,12150,Coonamble (A),1,Good,Good,0
10353,Billilingra,17040,Snowy Monaro Regional (A),1,Good,Good,0
10354,Billimari,12350,Cowra (A),1,Good,Good,0
10355,Billinudgel,11350,Byron (A),1,Good,Good,0
10356,Billys Creek,11730,Clarence Valley (A),1,Good,Good,0
10357,Billywillinga,10470,Bathurst Regional (A),1,Good,Good,0
10358,Bilpin,13800,Hawkesbury (C),1,Good,Good,0
10359,Bimberi,17080,Snowy Valleys (A),1,Good,Good,0
10360,Bimbi,18100,Weddin (A),1,Good,Good,0
10361,Bimbimbie,12750,Eurobodalla (A),1,Good,Good,0
10362,Binalong,18710,Yass Valley (A),1,Good,Good,0
