LOCALITY_PID_NOV2019,LOCALITY_NAME_NOV2019,SED_CODE_2019,SED_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1215,DARBYS FALLS,10022,Cootamundra,1,Good,Good,0
NSW1217,DARGAN,10007,Bathurst,1,Good,Good,0
NSW1218,DARK CORNER,10007,Bathurst,1,Good,Good,0
NSW1219,DARKES FOREST,10034,Heathcote,1,Good,Good,0
NSW122,BABYL CREEK,10045,Lismore,1,Good,Good,0
NSW1220,DARKWOOD,10064,Oxley,1,Good,Good,0
NSW1221,DARLING POINT,10086,Vaucluse,1,Good,Good,0
NSW1222,DARLINGHURST,10080,Sydney,1,Good,Good,0
NSW1223,DARLINGTON,10059,Newtown,1,Acceptable,Good,0
NSW1224,DARLINGTON,10085,Upper Hunter,1,Good,Good,0
NSW1225,DARLINGTON POINT,10056,Murray,1,Good,Good,0
NSW1226,DARLOW,10087,Wagga Wagga,1,Good,Good,0
NSW1227,DAROOBALGIE,10063,Orange,1,Good,Good,0
NSW1228,DARTBROOK,10085,Upper Hunter,1,Good,Good,0
NSW1229,DARUKA,10081,Tamworth,1,Good,Good,0
NSW123,BACK CREEK,10061,Northern Tablelands,1,Good,Good,0
NSW1230,DAVIDSON,10024,Davidson,1,Acceptable,Good,0
NSW1231,DAVIS CREEK,10085,Upper Hunter,1,Good,Good,0
NSW1232,DAVISTOWN,10082,Terrigal,1,Good,Good,0
NSW1233,DAWES POINT,10080,Sydney,1,Good,Good,0
